"country","Year","dying","predicted_cmr"
"Australia",2022,10.3158636363636,4.37254165431063
"Pakistan",2022,10.3158636363636,4.37254165431063
"India",2022,10.3158636363636,4.37254165431063
"Sri Lanka",2022,10.3158636363636,4.37254165431063
"Bangladesh",2022,10.3158636363636,4.37254165431063
"Russia",2022,10.3158636363636,4.37254165431063
"Afghanistan",2022,10.3158636363636,4.37254165431063
"China",2022,10.3158636363636,4.37254165431063
"Australia",2023,10.3158636363636,4.21146376730428
"Pakistan",2023,10.3158636363636,4.21146376730428
"India",2023,10.3158636363636,4.21146376730428
"Sri Lanka",2023,10.3158636363636,4.21146376730428
"Bangladesh",2023,10.3158636363636,4.21146376730428
"Russia",2023,10.3158636363636,4.21146376730428
"Afghanistan",2023,10.3158636363636,4.21146376730428
"China",2023,10.3158636363636,4.21146376730428
"Australia",2024,10.3158636363636,4.050385880298
"Pakistan",2024,10.3158636363636,4.050385880298
"India",2024,10.3158636363636,4.050385880298
"Sri Lanka",2024,10.3158636363636,4.050385880298
"Bangladesh",2024,10.3158636363636,4.050385880298
"Russia",2024,10.3158636363636,4.050385880298
"Afghanistan",2024,10.3158636363636,4.050385880298
"China",2024,10.3158636363636,4.050385880298
"Australia",2025,10.3158636363636,3.88930799329166
"Pakistan",2025,10.3158636363636,3.88930799329166
"India",2025,10.3158636363636,3.88930799329166
"Sri Lanka",2025,10.3158636363636,3.88930799329166
"Bangladesh",2025,10.3158636363636,3.88930799329166
"Russia",2025,10.3158636363636,3.88930799329166
"Afghanistan",2025,10.3158636363636,3.88930799329166
"China",2025,10.3158636363636,3.88930799329166
"Australia",2026,10.3158636363636,3.72823010628531
"Pakistan",2026,10.3158636363636,3.72823010628531
"India",2026,10.3158636363636,3.72823010628531
"Sri Lanka",2026,10.3158636363636,3.72823010628531
"Bangladesh",2026,10.3158636363636,3.72823010628531
"Russia",2026,10.3158636363636,3.72823010628531
"Afghanistan",2026,10.3158636363636,3.72823010628531
"China",2026,10.3158636363636,3.72823010628531
