"country","Country","Metrics.RMSE","Metrics.R2","Zero_CMR_Year"
"Afghanistan","Afghanistan",1.12698388781296,0.98286049192455,2026.86133388675
"Australia","Australia",0.233039340264906,0.923190879662643,2070.79972506799
"Bangladesh","Bangladesh",0.51328684268085,0.994833947385398,2024.64087640339
"China","China",0.489675076227304,0.969687907045254,2047.18209058689
"India","India",0.39363815979569,0.995948457556238,2023.42822298025
"Pakistan","Pakistan",0.670811706906156,0.978777419744811,2130.28247186783
"Russia","Russia",0.250749638074792,0.947948887098796,2030.55771588304
"Sri Lanka","Sri Lanka",0.638901774976853,0.947663068998269,2075.0248933452
